order,expected_use_time
0,506.97614
1,249.51277
2,337.50433
3,268.82913
4,578.8663
5,145.5486
6,462.9703
7,306.04407
8,623.82477
9,331.95883
10,594.2116
11,336.48618
12,553.39197
13,45.521996
14,28.79087
15,41.59772
16,38.25367
17,321.72208
18,399.25323
19,384.88632
20,186.3341
21,387.49792
22,1026.9448
23,351.501
24,458.02673
25,303.23425
26,94.66994
27,39.664856
28,281.31113
29,336.7628
30,255.80785
31,305.24945
32,167.98277
33,290.07404
34,1312.7355
35,442.58957
36,138.2298
37,443.4574
38,266.704
39,579.7539
40,982.22125
41,737.8284
42,450.42838
43,362.94012
44,350.5767
45,457.25226
46,611.5817
47,166.86482
48,177.26172
49,493.23834
50,423.04343
51,608.5253
52,678.81586
53,311.855
54,348.98047
55,377.19464
56,694.186
57,261.63385
58,352.8466
59,358.75027
60,569.1529
61,294.57834
62,408.63696
63,211.72304
64,308.686
65,365.7854
66,592.93866
67,142.0277
68,400.10184
69,234.76714
70,510.20563
71,31.93802
72,121.577034
73,541.3921
74,448.69073
75,488.32227
76,1047.726
77,436.27313
78,378.0831
79,520.9552
80,267.43808
81,411.56137
82,650.8067
83,172.2873
84,378.05518
85,325.3226
86,250.49002
87,266.67923
88,553.1986
89,291.30356
90,420.56342
91,247.0878
92,1165.3767
93,458.3158
94,517.6416
95,564.9106
96,976.1731
97,380.9705
98,414.07736
99,653.01514
100,909.63477
101,144.10233
102,135.20245
103,289.3646
104,283.50333
105,435.49643
106,420.4303
107,254.21263
108,837.88403
109,32.890728
110,778.7776
111,234.82661
112,591.3993
113,31.978897
114,415.73462
115,310.77417
116,746.1635
117,312.86804
118,393.82025
119,130.59727
120,295.97165
121,257.26425
122,452.70972
123,212.43355
124,343.41135
125,197.23909
126,513.7172
127,127.211296
128,7.180156
129,6.7853165
130,253.02809
131,353.54034
132,453.41684
133,455.35248
134,1084.4235
135,181.74748
136,782.886
137,243.41493
138,88.2026
139,392.0868
140,344.48166
141,365.0999
142,735.31036
143,7.0912814
144,462.79758
145,450.50748
146,609.9942
147,264.20358
148,569.13794
149,273.0347
150,363.91132
151,459.50266
152,511.76334
153,405.70892
154,477.93774
155,353.61615
156,514.4878
157,380.71915
158,435.83093
159,342.82706
160,272.49622
161,248.95107
162,300.93375
163,159.27629
164,390.7564
165,53.688736
166,220.30278
167,261.7769
168,387.32593
169,210.22214
170,496.2124
171,311.6738
172,336.45895
173,537.8898
174,2003.2865
175,477.9576
176,526.2534
177,319.9441
178,665.4518
179,408.00055
180,342.87814
181,318.40692
182,604.79944
183,385.49048
184,456.6865
185,322.90988
186,666.0627
187,424.4055
188,450.33047
189,297.149
190,305.8558
191,617.7504
192,395.2299
193,519.42346
194,996.8819
195,339.96765
196,430.2348
197,390.60944
198,860.4073
199,216.56631
200,-5.592487
201,390.9404
202,284.71725
203,368.5789
204,434.12436
205,44.55987
206,158.75699
207,807.98486
208,757.2247
209,127.57142
210,328.0843
211,370.8893
212,736.8732
213,312.58298
214,365.4733
215,309.05096
216,462.30124
217,25.181252
218,317.16333
219,541.0554
220,569.5535
221,22.359768
222,335.99518
223,583.44995
224,942.6726
225,76.542816
226,338.89783
227,14.8107605
228,348.38223
229,202.72461
230,141.02962
231,236.28958
232,475.33542
233,12.218882
234,24.605768
235,244.8334
236,214.49248
237,314.61923
238,630.4464
239,503.30396
240,525.119
241,535.1266
242,893.8541
243,61.29043
244,469.07874
245,368.7364
246,256.28586
247,505.5861
248,470.652
249,632.6232
250,537.85376
251,41.81338
252,308.60422
253,518.0092
254,704.2676
255,1.617516
256,453.21985
257,519.86615
258,828.78107
259,300.97995
260,319.3521
261,391.60208
262,768.80396
263,105.106224
264,68.248665
265,276.54355
266,316.966
267,364.70804
268,615.46234
269,75.93506
270,84.69537
271,261.7178
272,365.2316
273,357.86072
274,318.56027
275,493.95477
276,728.2389
277,492.2849
278,198.78746
279,176.2902
280,448.3221
281,186.84018
282,470.11362
283,193.90642
284,526.4946
285,484.87732
286,642.255
287,218.637
288,228.52026
289,284.77234
290,54.960117
291,52.430332
292,443.59546
293,284.33707
294,1008.8263
295,67.00813
296,24.348175
297,203.81311
298,438.88696
299,303.24945
300,190.39331
301,216.89896
302,272.45422
303,219.95876
304,864.99976
305,15.256797
306,227.62094
307,263.91397
308,351.29828
309,295.32382
310,222.75827
311,350.5294
312,329.77475
313,227.41965
314,241.65363
315,257.82785
316,340.26782
317,399.3707
318,259.7459
319,442.60635
320,552.45435
321,301.75092
322,498.53394
323,672.6336
324,390.09726
325,55.30028
326,485.76804
327,195.86284
328,554.8456
329,236.42542
330,129.64986
331,428.51932
332,669.76556
333,376.78342
334,331.26123
335,34.31032
336,263.36902
337,17.1137
338,23.050205
339,499.92603
340,13.539379
341,254.64662
342,239.55614
343,129.3392
344,1028.2572
345,474.33102
346,418.60114
347,262.26236
348,506.35428
349,308.4837
350,615.3836
351,546.692
352,13.80075
